NCBI UID,Ensembl ID
3396,ENSG00000167862
55006,ENSG00000171103
2244,ENSG00000171564
10096,ENSG00000115091
11144,ENSG00000100206
56683,ENSG00000159079
6280,ENSG00000163220
7352,ENSG00000175564
27042,ENSG00000117597
2620,ENSG00000148935
26190,ENSG00000119402
541465,ENSG00000278289
57335,ENSG00000187607
160728,ENSG00000256870
440603,ENSG00000188761
57107,ENSG00000164494
1297,ENSG00000112280
8914,ENSG00000111602
92,ENSG00000121989
55650,ENSG00000060642
8128,ENSG00000140557
6274,ENSG00000188015
23416,ENSG00000135519
26958,ENSG00000158623
54544,ENSG00000169509
30001,ENSG00000197930
100529211,ENSG00000187838
3706,ENSG00000137825
26164,ENSG00000101181
360023,ENSG00000177888
727940,ENSG00000203989
100134938,ENSG00000267368
1051,ENSG00000172216
10406,ENSG00000101443
10634,ENSG00000185340
1263,ENSG00000173846
4711,ENSG00000136521
9832,ENSG00000176049
23624,ENSG00000142273
6046,ENSG00000204256
51204,ENSG00000136463
54776,ENSG00000125503
27284,ENSG00000173597
10250,ENSG00000133226
57597,ENSG00000266074
1607,ENSG00000136267
84967,ENSG00000181817
51660,ENSG00000060762
222546,ENSG00000185002
23240,ENSG00000121210
6422,ENSG00000104332
79836,ENSG00000175556
3150,ENSG00000205581
200424,ENSG00000187605
6610,ENSG00000135587
23072,ENSG00000002746
3362,ENSG00000158748
255626,ENSG00000146047
9658,ENSG00000101493
1435,ENSG00000184371
10062,ENSG00000025434
5095,ENSG00000175198
4147,ENSG00000132561
64748,ENSG00000105520
55833,ENSG00000137073
336,ENSG00000158874
8777,ENSG00000107186
93323,ENSG00000131351
4986,ENSG00000082556
57758,ENSG00000175356
5068,ENSG00000172016
391114,ENSG00000203757
91646,ENSG00000173809
25976,ENSG00000163659
643314,
2843,ENSG00000204882
3991,ENSG00000079435
9497,ENSG00000033867
104,ENSG00000197381
8545,ENSG00000163320
151254,ENSG00000155754
126306,ENSG00000167476
7169,ENSG00000198467
80162,ENSG00000142102
28231,ENSG00000101187
55659,ENSG00000083817
64922,ENSG00000184434
6887,ENSG00000186051
